Model,MAE,MSE,RMSE,R2 Score,CV Mean R2
Linear Regression,84793.56650385023,35531128922.734825,188497.02629679552,0.2360559754426942,0.12052776058679027
Decision Tree,66668.81588541849,78385657902.81786,279974.3879407862,-0.6853462521854974,-0.04580773358899652
Gradient Boosting,69202.0695454797,84768597990.12245,291150.47310647194,-0.8225839107301307,-0.1003212652311302
Random Forest Tuned,64146.22748403051,57402220387.834724,239587.60482928727,-0.2341877275266886,0.07344626177792084
